Title,Box Office (USA)
Cast Away,"$233,630,478.00"
Full Metal Jacket,"$46,357,676.00"
Gosford Park,"$41,300,105.00"
A Time to Kill,"$108,706,165.00"
The Game,"$48,323,648.00"
Cinderella Man,"$61,644,321.00"
The Fifth Element,"$63,820,180.00"
The Intouchables,"$10,198,820.00"
The Iron Giant,"$23,159,305.00"
Running Scared,"$38,500,726.00"
Green Street Hooligans,"$346,830.00"
Rounders,"$22,905,674.00"
Everything is Illuminated,"$1,705,595.00"
Casino Royale,"$167,445,960.00"
Harry Potter and the Half-Blood Prince,"$301,959,197.00"
Ghost in the Shell,"$515,905.00"
The Orphanage,"$40,563,557.00"
The Sea Inside,"$2,104,923.00"
Boogie Nights,"$26,400,640.00"
L.A. Confidential,"$64,616,940.00"
The Chorus,"$3,635,164.00"
Being John Malkovich,"$22,863,596.00"
The Last Samurai,"$111,127,263.00"
The Diving Bell and the Butterfly,"$6,003,227.00"
How to Train Your Dragon,"$217,581,231.00"
Wristcutters: A Love Story,"$446,165.00"
The Thing,"$16,928,670.00"
Predator,"$59,735,548.00"
Milk,"$31,841,299.00"
Flipped,"$1,755,212.00"
Tucker and Dale Vs Evil,"$223,838.00"
Ed Wood,"$5,887,457.00"
Lucky Number Slevin,"$22,495,466.00"
Jackie Brown,"$39,673,162.00"
Aladdin,"$217,350,219.00"
Excalibur,"$34,967,437.00"
The Hours,"$41,675,994.00"
Mysterious Skin,"$713,240.00"
Changeling,"$35,739,802.00"
Night on Earth,"$2,015,810.00"
Avatar,"$760,507,625.00"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"$128,505,958.00"
The Curse of the Were-Rabbit,"$56,110,897.00"
Mulan,"$120,620,254.00"
The Breakfast Club,"$45,875,171.00"
"4 Months, 3 Weeks and 2 Days","$1,198,208.00"
Bound,"$3,802,260.00"
X-Men,"$157,200,717.00"
Sunshine,"$3,675,753.00"
The Terminator,"$38,371,200.00"
